_SAPPCTXT_HEADER_               002 7500 CHART PL 1404 27.04.2017-23:49 OK 
20150                           016 "Projekt"
20154                           023 "Formatowanie legendy"
20162                           091 "Drukarka nie zosta≥a zainstalowana lub nie zdefiniowano drukarki standardowej."
22000                           031 "Formatowanie obszaru wykresu..."
22001                           024 "Typ wykresu..."
22002                           025 "èrÛd≥o danych..."
22003                           027 "Opcje wykresu..."
22004                           021 "Format. obsz. rysunku"
22005                           020 "Typ wykresu"
22006                           023 "Opcje wykresu"
22007                           032 "Formatowanie sekwencji danych"
22008                           017 "Usuwanie"
22009                           028 "Formatow. sekwencji danych"
22010                           019 "Nak≥adanie:"
22011                           014 "Cofanie"
22012                           027 "Linie po≥πczeÒ"
22014                           030 "WielkoúÊ 2. obszaru rysunku"
22015                           021 "Linie odniesienia"
22018                           032 "Kπt pierwszego segmentu:"
22020                           030 "Wielk. wewn. pierúc.:"
22021                           012 "KW"
22022                           032 "Wyúw. ujem. wykresÛw bπbelk."
22023                           033 "Dostosow. rozm. wykr. bπbelk. do:"
22024                           022 "% standardu"
22025                           031 "Formatowanie punktu danych..."
22026                           027 "Formatowanie punktu danych"
22027                           032 "Formatowanie etykiety danych..."
22028                           028 "Formatowanie etykiety danych"
22029                           031 "Formatowanie etykiety danych..."
22030                           027 "Formatow. etykiety danych"
22031                           018 "Standard"
22032                           025 "Formatowanie osi..."
22033                           021 "Formatowanie osi"
22034                           060 "Min. wartoúÊ musi byÊ wiÍksza od zera"
22035                           055 "Minimalna wartoúÊ musi byÊ mniejsza od maksymalnej"
22036                           031 "Formatowanie linii siatki"
22037                           026 "Formatowanie linii siatki"
22038                           027 "Formatowanie linii odn."
22039                           031 "Formatowanie linii odn."
22040                           029 "Formatowanie linii ≥πczπcych"
22041                           033 "Formatowanie linii ≥πczπcych..."
22042                           027 "Formatow. symbolu legendy"
22043                           029 "Formatowanie indeksu legendy"
22044                           031 "Formatowanie klucza legendy..."
22045                           033 "Formatowanie indeksu legendy"
22046                           028 "Formatowanie legendy"
22047                           026 "Formatowanie wykresu..."
22048                           022 "X-s≥upki poziome b≥Ídu"
22049                           022 "Y-s≥upki poziome b≥Ídu"
22050                           031 "Formatow. s≥upkÛw poz. b≥Ídu"
22051                           027 "Format. s≥upkÛw poz. b≥Ídu"
22052                           021 "èrÛd≥o danych"
22053                           021 "Seria danych"
22054                           018 "Wartoúci:"
22055                           022 "X - Wartoúci:"
22056                           028 "Nieprawid≥owa referencja"
22057                           035 "Formatowanie linii rozpiÍtoúci"
22058                           031 "Formatowanie linii rozpiÍtoúci"
22059                           017 "ZakoÒcz."
22060                           022 "Asystent wykresu"
22061                           028 "Formatow. odchyl. dodat. ..."
22062                           024 "Formatow. odchyl. dod."
22063                           030 "Formatow. ujemn. odchyl. ..."
22064                           026 "Formatow. ujemn. odchyl."
22065                           049 "Drugi element rysunku zawiera ostatnie:"
22066                           016 "Wartoúci"
22067                           056 "Drugi rysunek zawiera wszystkie wartoúci mniejsze od:"
22068                           056 "Drugi rysunek zawiera wszystkie wartoúci mniejsze od:"
22069                           057 "ProszÍ przesunπÊ segmenty pomiÍdzy ko≥ami za pomocπ myszy"
22070                           065 "Wykres dla kursu najw./najn./zamkn. musi zawieraÊ 3 serie danych"
22074                           036 "Niemoøliwy do uøycia typ wykresu"
22075                           026 "Zmiana wartoúci..."
22076                           032 "Formatowanie zakresu wartoúci"
22077                           028 "Formatowanie zakresu wart."
22078                           027 "Formatow. obszaru wykresu"
22079                           094 "OdstÍp powinienmusi zawieraÊ siÍ pomiÍdzy 0 a 500. ProszÍ wprowadziÊ wartoúÊ z tego zakresu"
22080                           111 "Kπt pierwszego segmentu musi zawieraÊ siÍ pomiÍdzy 0 a 360. ProszÍ wprowadziÊ kπt z tego zakresu"
22081                           104 "WielkoúÊ pierúcienia musi zawieraÊ siÍ pomiÍdzy 10 a 90. ProszÍ wprowadziÊ odpowiedniπ wartoúÊ"
22082                           096 "Nak≥adanie musi zawieraÊ siÍ pomiÍdzy -100 a 100. ProszÍ wprowadziÊ wartoúÊ z tego zakresu"
22083                           094 "OdstÍp musi zawieraÊ siÍ pomiÍdzy 0 a 200. ProszÍ wprowadziÊ wartoúÊ z tego zakresu"
22084                           114 "WielkoúÊ drugiej powierzchni rysunku musi zawieraÊ siÍ pomiÍdzy 5 a 200. ProszÍ wprowadziÊ wartoúÊ z tego zakresu"
22085                           095 "Liczba musi zawieraÊ siÍ pomiÍdzy 1 a 31999. ProszÍ wprowadziÊ liczbÍ z tego zakresu"
22086                           020 "OdstÍp:"
22088                           016 "Liniowo"
22089                           021 "Logarytmicznie"
22090                           014 "Godzina"
22091                           014 "Brak"
22092                           031 "Skalowanie osi czasu"
22093                           030 "Formatowanie obszaru rysunku"
22094                           016 "Formatowanie"
22095                           055 "WielkoúÊ zaznaczeÒ musi byÊ wiÍksza od 0"
22096                           047 "G≥Ûwny przedzia≥ musi byÊ wiÍkszy od 0"
22097                           047 "Przedzia≥ pomocniczy musi byÊ wiÍkszy od 0"
22098                           024 "Nieprawid≥owa wartoúÊ"
22099                           029 "Format. zakresu dodatniego..."
22100                           017 "Minimum"
22101                           017 "Maksimum"
22102                           017 "Optimum"
22103                           018 "Pozycja"
22104                           034 "Formatowanie tytu≥u zakresu wart."
22105                           038 "Formatowanie tytu≥u zakresu wart. ..."
22106                           027 "Etykieta osi sieci"
22107                           016 "Oú X"
22108                           016 "Oú Y"
22109                           016 "Oú Z"
22110                           014 "Siatka"
22111                           019 "Powierzchnia rys."
22112                           027 "Tytu≥ zakresu wartoúci"
22113                           021 "Zakres wartoúci"
22114                           019 "S≥upki poz. ujemne"
22115                           017 "S≥upki poz.dodat."
22116                           024 "Linie rozpiÍtoúci"
22117                           020 "S≥upki poziome b≥Ídu"
22118                           022 "Linie serii"
22119                           020 "Linie odniesienia"
22120                           017 "Seria:"
22121                           019 "Tekstura:"
22122                           017 "Etykieta:"
22123                           034 "Zmiana wycinka ko≥a"
22124                           027 "Dodanie linii trendu..."
22125                           030 "Formatowanie linii trendu..."
22126                           026 "Formatowanie linii trendu"
22127                           036 "Formatowanie opisu linii trendu..."
22128                           032 "Formatow. etykiety linii trendu"
22129                           020 "Linia trendu"
22130                           025 "Etykieta linii trendu"
22131                           022 "Podglπd 3D..."
22132                           049 "ObrÛt musi zawieraÊ siÍ w przedz. 0 - 360 stopni"
22133                           048 "WysokoúÊ musi zawieraÊ siÍ w przedziale -90 - 90"
22134                           052 "Perspektywa musi zawieraÊ siÍ w przedziale 0 - 100"
22135                           024 "Oú szeregÛw (Z):"
22136                           026 "Oú wartoúci (Y):"
22138                           022 "Formatowanie podstawy"
22139                           026 "Formatowanie podstawy..."
22140                           022 "Formatowanie bokÛw"
22141                           026 "Formatowanie bokÛw"
22142                           015 "Kopiowanie"
22143                           021 "G≥ÍbokoúÊ luk:"
22144                           025 "èrÛd≥o danych..."
22145                           025 "Formatowanie zakresu dod."
22146                           030 "ZapamiÍtanie jako szablon..."
22147                           060 "Pliki wykresu   (*.icc)|*.icc|Wszyst. pliki (*.*)| *.* ||"
22148                           026 "Zapam. jako szablon"
22149                           089 "WielkoúÊ ca≥k. osi czasu jest za duøa. Zostanie automatycznie dostosowana"
22151                           027 "Wczyt. szablonu..."
22152                           043 "Oú wartoúci (X) przecina przy maks. wart."
22153                           023 "Wczyt. szablonu"
22154                           036 "Oú wartoúci (X) przecina przy:"
22155                           043 "Oú wartoúci (Y) przecina przy maksimum"
22156                           032 "Oú wartoúci (Y) przecina przy:"
22157                           116 "Liczba okresÛw przy ruchomych wartoúciach úrednich musi wynosiÊ co najmniej 2 i mniejsza niø liczba punktÛw danych"
22158                           080 "Wartoúci prognoz w przÛd i wstecz powinny byÊ wiÍksze niø 0"
22159                           021 "Etykieta osi sieci"
22160                           032 "Formatow. etykiety osi sieci..."
22161                           028 "Formatow. etykiety osi sieci"
22162                           048 "WysokoúÊ musi zawieraÊ siÍ pomiÍdzy -45 i 45"
22163                           047 "WysokoúÊ musi zawieraÊ siÍ pomiÍdzy 10 a 90"
22164                           018 "Wglπd 3D"
22165                           051 "SzerokoúÊ dnia musi byÊ wiÍksza niø 0"
22166                           027 "Formatowanie tabeli danych"
22167                           031 "Formatowanie tabeli danych..."
22168                           020 "Tab. danych"
22169                           028 "Oú kategorii (Y)"
22170                           025 "Oú wartoúci (X)"
22173                           117 "Kategoria, od ktÛrej naleøy rozpoczπÊ nie moøe byÊ niøsza niø 1. \nWartoúÊ zostanie odpowiednio dostosowana"
22174                           113 "Liczba widocznych kategorii nie moøe byÊ niøsza niø 1.\nWartoúÊ zostanie odpowiednio dostosowana"
22175                           039 "Dodawanie dystrybucji standardowej..."
22176                           042 "Formatowanie dystrybucji standardowej..."
22177                           019 "Drukowanie..."
22178                           024 "Podglπd wydruku"
22179                           066 "WartoúÊ poczπtkowa musi byÊ rÛøna od wartoúci koÒcowej"
22180                           077 "- 'Tak', w celu konwersji wszystkich serii danych na wybrany typ wykresu"
22181                           054 "- 'Nie', w celu zachowania aktualnego typu wykresu"
22191                           029 "Klasy histogramu"
22192                           032 "Dystrybucja standardowa:"
22193                           038 "Opis dystrybucji standardowej:"
22194                           038 "Formatowanie standardowego rozdzia≥u"
22195                           044 "Formatowanie etykiety rozdzia≥u standard."
22196                           048 "Formatowanie etykiety rozdzia≥u standard. ..."
22197                           037 "Formatow. aktualnej linii czasu ..."
22198                           033 "Formatow. aktualnej linii czasu"
22199                           029 "Do≥πczanie zakresu wartoúci.."
22200                           031 "Formatowanie obszarÛw ujemnych"
22201                           027 "Format. obszarÛw ujemnych"
22202                           018 "Obszar dodatni"
22203                           020 "Obszar ujemny"
22204                           015 "Od:"
22205                           013 "Do:"
22206                           022 "Styl grafiki:"
22207                           032 "Format. zakresu pojedynczego..."
22208                           028 "Formatow. zakresu pojedyn."
22209                           034 "Formatowanie opisu wskaünika..."
22210                           014 "Linia"
22211                           026 "Formatowanie tabeli..."
22212                           022 "Formatowanie tabeli"
22213                           020 "Czcionka tytu≥u"
22214                           023 "Do≥πczanie tabeli..."
22215                           024 "Do≥πczanie przycisku..."
22216                           027 "Formatowanie kolumny..."
22217                           023 "Formatowanie kolumny"
22218                           031 "Szerok. kolumny za ma≥a"
22219                           025 "Formatowanie komÛrek..."
22220                           021 "Formatowanie komÛrek"
22221                           035 "Formatowanie etykiety wskaünika..."
22222                           030 "Formatow. etykiety wskaünika"
22223                           031 "Formatowanie etykiet wskaünika"
22224                           023 "Formatowanie przycisku"
22225                           027 "Formatowanie przycisku ..."
22226                           036 "Wyúw. szerok. linii wykresu bπbelk."
22228                           127 "Paski czasu nie mogπ zostaÊ utworzone z powodu zbyt duøego przedzia≥u. Przerwanie spowoduje ponowne ustaw. najpÛüniejszej daty"
22229                           016 "Poziomy"
22230                           014 "WiÍcej"
22231                           031 "Rozk≥ad standardowy"
22232                           019 "Podpis"
22233                           012 "W≥πczanie"
22235                           020 "Czcionka tytu≥u"
22236                           019 "Czcionka komÛrek"
22237                           019 "Wykres ko≥owy"
22238                           036 "Formatowanie jednostki osi"
22239                           051 "Niepop. format liczby"
22240                           092 "Dozwolone tylko 10 obszarÛw wartoúci. \nUsuwanie dodatkowych obszarÛw wartoúci"
22241                           025 "èrÛd≥o danych..."
22242                           035 "Dodawanie dystrybucji standardowej"
22400                           107 "Liczba jedn. na bazie akt. ustawieÒ skali czasu jest za duøa. Moøe to powodowaÊ zmniejszenie wydajnoúci."
22401                           054 "Czy uøytk. jest pewien, øe wszyst. ustaw. sπ prawid≥.?"
22410                           101 "Liczba widocznych kategorii nie powinna przekraczaÊ liczby istniejπcych kategorii."
22411                           056 "WartoúÊ jest odpowiednio dostosowana."
22420                           132 "Suma wartoúci widocznych kategorii i kategorii, ktÛre powinny zostaÊ uruchomione, przekroczy≥a liczbÍ kategorii"
22421                           056 "WartoúÊ jest odpowiednio dostosowana."
22430                           132 "Niemoøliwa zmiana typu wykresu w wykresie akcji, poniewaø wykres akcji wymaga 3, 4 lub 5 serii danych dla jednego punktu."
22431                           046 "ProszÍ skorzystaÊ z nastÍpujπcych rozwiπzaÒ:"
22432                           070 "Aby przypis. wykres akcji do wszyst. serii danych, proszÍ wybraÊ 'OK'."
22433                           092 "Wykres akcji jest tworzony dopiero wtedy, gdy tabela zawiera odpowiedniπ liczbÍ serii danych"
22434                           050 "Celem zamk. naleøy wybraÊ komunikat 'Zaniechanie'."
22435                           132 "ProszÍ wybraÊ inny typ wykresu, ktÛry ma moøliwoúÊ wyúwietlenia pojedynczej serii danych, jak na przyk≥ad wykres liniowy."
22460                           065 "Wykresy 2D i 3D nie mogπ byÊ po≥πczone ze sobπ."
22461                           132 "Czy serie danych wykresu 2D powinny zostaÊ tak zmienione, øe oba wykresy bÍdπ mog≥y zostaÊ po≥πczone w jeden wykres 3D?"
22462                           094 "- W celu takiej zmiany serii dan., aby mog≥y byÊ one powiπz. na wykr. 3D naleøy kliknπÊ 'Tak'"
22464                           064 "- W celu zaniechania powiπzania wykresÛw naleøy kliknπÊ 'Nie'"
22470                           065 "Wykresy 3D i 2D nie mogπ byÊ po≥πczone ze sobπ."
22471                           132 "Czy serie danych wykresu 3D powinny zostaÊ tak zmienione, aby oba wykresy bÍdπ mog≥y zostaÊ po≥πczone w jeden wykres 2D?"
22472                           091 "- W celu takiej zm. serii dan., aby mog≥y byÊ one powiπz. na wykr. 2D naleøy kliknπÊ 'Tak'"
22474                           064 "- W celu zaniechania powiπzania wykresÛw naleøy kliknπÊ 'Nie'"
22480                           060 "Wykres nie jest po≥πczony z innym typem wykresu"
22481                           090 "Czy serie danych tego wykresu powinny zostaÊ zmienione w wybranym typie wykresu?"
22490                           132 "W celu utworzenia wykresu akcji, naleøy umieúciÊ dane w nastÍpujπcej kolejnoúci: Cena wywo≥awcza/najwyøsza/najniøsza/ostateczna."
22491                           050 "ProszÍ wykorz. dane i nazwy akcji jako etykiety"
22500                           132 "W celu utworzenia wykresu akcji, naleøy umieúciÊ dane w nastÍp. kolejnoúci: Wolumen handlowy/Cena najwyøsza/najniøsza/ostateczna."
22501                           050 "ProszÍ wykorz. dane i nazwy akcji jako etykiety"
22510                           132 "W celu utworz. wykresu akcji, naleøy umieúciÊ dane w nastÍp. kolejnoúci: Wolumen handlowy/Cena wywo≥./najwyøsza/najniø./ostateczna."
22511                           050 "ProszÍ wykorz. dane i nazwy akcji jako etykiety"
22550                           015 "Bia≥y"
22551                           015 "Czarny"
22552                           013 "Czerwony"
22553                           016 "ØÛ≥ty"
22554                           015 "Zielony"
22555                           014 "Turkusowy"
22556                           014 "Niebieski"
22557                           017 "Magenta"
22600                           013 "Wszystkie"
22601                           016 "Zdef. przez kl."
22602                           016 "Liczba"
22603                           021 "KsiÍgowoúÊ"
22604                           014 "Data"
22605                           014 "Godzina"
22606                           017 "Procent"
22607                           018 "Z≥amanie"
22608                           017 "Nauka"
22609                           014 "Tekst"
22610                           018 "Waluta"
23000                           013 "Na gÛrze"
23001                           016 "W úrodku"
23002                           016 "Na dole"
23003                           016 "Podzia≥"
23010                           014 "Od lewej"
23011                           016 "W úrodku"
23012                           015 "Z prawej"
23013                           016 "Podzia≥"
23020                           015 "Powyøej"
23021                           015 "Poniøej"
23022                           020 "Optymalna szerokoúÊ"
23023                           016 "W úrodku"
23024                           021 "W obrÍbie bazy"
23025                           020 "W obrÍbie koÒca"
23026                           014 "Od lewej"
23027                           015 "Mieszane"
23028                           021 "Poza koÒcem"
23029                           015 "Z prawej"
23030                           031 "Formatowanie opisu osi..."
23031                           032 "Formatowanie tytu≥u wykresu..."
23032                           027 "Formatowanie opisu osi"
23033                           028 "Formatowanie tytu≥u wykresu"
23034                           016 "Liniowo"
23035                           021 "Logarytmicznie"
23036                           019 "Potencjalny"
23037                           021 "Wyk≥adniczy"
23038                           024 "årednia ruchoma"
23039                           019 "Edycja tekstu"
23040                           019 "Automatycznie"
23041                           017 "Minimum"
23042                           017 "Maksimum"
23043                           016 "Zdef. przez uø."
23050                           017 "S≥upki pionowe"
23051                           014 "S≥upki poziome"
23052                           015 "Linie"
23053                           017 "Profil"
23054                           014 "Wykr.ko≥."
23055                           022 "XY (rozp.)"
23056                           014 "Powierzchnia"
23057                           018 "PierúcieÒ"
23058                           015 "Radar"
23059                           019 "Portfolio:"
23060                           015 "Kurs"
23061                           017 "Powierzchnie"
23062                           018 "Cylinder"
23063                           014 "Stoøek"
23064                           017 "Piramida"
23065                           019 "KamieÒ milowy"
23066                           015 "Poziomy"
23067                           019 "Histogram"
23068                           020 "Tachometr"
23069                           018 "Wykr.Êwiartk."
23070                           024 "Czterokolor.wykres s≥up."
23090                           014 "Dane"
23091                           020 "Symbol legendy"
24000                           018 "Pozycja"
24001                           015 "War."
24002                           017 "Procent"
25100                           018 "Wglπd 3D"
25103                           021 "Rzut pionowy:"
25107                           023 "Perspektywa:"
25111                           020 "ObrÛt:"
25113                           023 "Autom. skalowanie"
25114                           027 "Oú pod kπtem prostym"
25115                           018 "WysokoúÊ:"
25118                           011 "%"
25119                           018 "Standard"
25200                           019 "WyrÛwnanie"
25201                           024 "WyrÛwnanie tekstu"
25202                           022 "Poziomo:"
25204                           020 "Pionowo:"
25206                           020 "Pozycja:"
25208                           021 "WyrÛwnanie"
25300                           014 "Osie"
