_SAPPCTXT_HEADER_               002 7500 CHART PT 1100 27.04.2017-23:50 OK 
20119                           020 "Objeto..."
20128                           057 "O fator zoom deve-se situar entre 25% e 400%"
20141                           055 "Entrar um valor superior ou igual a 0"
20142                           055 "Indicar um valor maior ou igual a 1"
20145                           079 "Nº de páginas a serem ajustadas devem-se situar entre 1 e 100"
20147                           014 "Elevado"
20148                           016 "Médio"
20149                           013 "Baixo"
20150                           016 "Esboço"
20154                           023 "Formatar legenda"
20162                           091 "Nenhuma impressora instalada ou nenhuma impressora definida como impressora standard"
22000                           031 "Formatar área de diagrama..."
22001                           024 "Tipo de diagrama..."
22002                           025 "Origem de dados..."
22003                           027 "Opções do diagrama..."
22004                           021 "Formatar área desenho"
22005                           020 "Tipo de diagrama"
22006                           023 "Opções do diagrama"
22007                           032 "Formatar série de dados"
22008                           017 "Eliminar"
22009                           028 "Formatar série de dados"
22010                           019 "Sobreposição:"
22011                           014 "Anular"
22012                           027 "Linhas de ligação"
22014                           030 "Tamanho da 2ª área de desenho"
22015                           021 "Linhas de referência"
22018                           032 "Ângulo do primeiro segmento:"
22020                           030 "Tamanho do anel interno:"
22021                           012 "ST"
22022                           032 "Exibir bolhas negativas"
22023                           033 "Ajustar tamanho de bolha a:"
22024                           022 "% do standard"
22025                           031 "Formatar ponto de dados..."
22026                           027 "Formatar ponto de dados"
22027                           032 "Formatar legenda de dados..."
22028                           028 "Formatar legenda de dados"
22029                           031 "Formatar legenda de dados..."
22030                           027 "Formatar legenda de dados"
22031                           018 "Padrão"
22032                           025 "Formatar eixo..."
22033                           021 "Formatar eixo"
22034                           060 "O valor mínimo deve ser superior a zero"
22035                           055 "O mínimo deve ser inferior ao máximo"
22036                           031 "Formatar linhas de grade"
22037                           026 "Formatar linhas de grade"
22038                           027 "Formatar linhas referência"
22039                           031 "Formatar linhas referência"
22040                           029 "Formatar linhas de série"
22041                           033 "Formatar linhas de série..."
22042                           027 "Formatar legenda"
22043                           029 "Formatar índice de legenda"
22044                           031 "Formatar legenda..."
22045                           033 "Formatar índice de legenda..."
22046                           028 "Formatar legenda"
22047                           026 "Formatar diagrama..."
22048                           022 "Barra de erros X"
22049                           022 "Barra de erros Y"
22050                           031 "Formatar barra de erros"
22051                           027 "Formatar barra de erros"
22052                           021 "Fonte de dados"
22053                           021 "Série dados"
22054                           018 "Valores:"
22055                           022 "&X - valores:"
22056                           028 "Referência inválida"
22057                           035 "Formatar linhas máximo/mínimo"
22058                           031 "Formatar linhas máximo/mínimo"
22059                           017 "Fim"
22060                           022 "Assistente de diagrama"
22061                           028 "Formatar barra positiva..."
22062                           024 "Formatar barra positiva"
22063                           030 "Formatar barra negativa..."
22064                           026 "Formatar barra negativa"
22065                           049 "Segundo elemento de desenho contém os últimos:"
22066                           016 "Valores"
22067                           056 "Segunda área desenho contém todos valores inferiores a:"
22068                           056 "Segunda área desenho contém todos valores inferiores a:"
22069                           057 "Deslocar segmentos entre círculos com o mouse"
22070                           065 "Diagrama p/cotações máx./mín./fechamento deve ter 3 séries dados"
22074                           036 "Tipo de diagrama não aplicável"
22075                           026 "Modificar valor..."
22076                           032 "Formatar conjunto de valores..."
22077                           028 "Formatar conjunto de valores"
22078                           027 "Formatar área de diagrama"
22079                           094 "O espaçamento deve-se situar entre 0 e 500. Inserir um valor desta área"
22080                           111 "O ângulo do primeiro segmento deve-se situar entre 0 e 360. Inserir um ângulo desta área"
22081                           104 "O tamanho do anel interno deve-se situar entre 10 e 90. Inserir um valor correspondente"
22082                           096 "A sobreposição deve-se situar entre -100 e 100. Inserir um valor desta área"
22083                           094 "O espaçamento tem deve-se situar entre 0 e 200. Inserir um valor desta área"
22084                           114 "O tamanho da segunda área de desenho deve-se situar entre 5 e 200. Inserir um valor desta área"
22085                           095 "O número deve-se situar entre 1 e 31999. Inserir um número desta área"
22086                           020 "Espaçamento:"
22088                           016 "Linear"
22089                           021 "Logarítmico"
22090                           014 "Hora"
22091                           014 "Nenhum"
22092                           031 "Efet.zoom eixo escala temporal"
22093                           030 "Formatar área de desenho"
22094                           016 "Formatar"
22095                           055 "O tamanho das marcações deve ser superior a zero"
22096                           047 "O intervalo principal deve ser superior a zero"
22097                           047 "O intervalo auxiliar deve ser superior a zero"
22098                           024 "Valor inválido"
22099                           029 "Formatar área positiva..."
22100                           017 "Mínimo"
22101                           017 "Máximo"
22102                           017 "Ótimo"
22103                           018 "Item"
22104                           034 "Formatar título série valores"
22105                           038 "Formatar título série de valores..."
22106                           027 "Legenda eixo radar"
22107                           016 "Eixo X"
22108                           016 "Eixo Y"
22109                           016 "Eixo Z"
22110                           014 "Matriz"
22111                           019 "Área de desenho"
22112                           027 "Título série de valores"
22113                           021 "Série valores"
22114                           019 "Barras negativas"
22115                           017 "Barras positivas"
22116                           024 "Linhas máximo/mínimo"
22117                           020 "Barra de erros"
22118                           022 "Linhas de série"
22119                           020 "Linhas referência"
22120                           017 "Série:"
22121                           019 "Textura:"
22122                           017 "Legenda:"
22123                           034 "Modif.gráficos setores circulares"
22124                           027 "Anexar linha tendência..."
22125                           030 "Formatar linha tendência..."
22126                           026 "Formatar linha tendência"
22127                           036 "Formatar legenda linha tendência..."
22128                           032 "Formatar legenda linha tendência"
22129                           020 "Linha de tendência"
22130                           025 "Legenda linha tendência"
22131                           022 "Visão 3D..."
22132                           049 "A rotação deve-se situar entre 0 e 360 graus"
22133                           048 "A altura deve-se situar entre -90 e 90"
22134                           052 "A perspectiva deve-se situar entre 0 e 100"
22135                           024 "Eixo de linhas (Z):"
22136                           026 "Eixo de valores (Y):"
22138                           022 "Formatar chão"
22139                           026 "Formatar chão..."
22140                           022 "Formatar paredes"
22141                           026 "Formatar paredes"
22142                           015 "Copiar"
22143                           021 "Intervalo:"
22144                           025 "Origem de dados..."
22145                           025 "Formatar área positiva"
22146                           030 "Gravar como & modelo..."
22147                           060 "Files diagrama (*.icc)|*.icc|Todos files (*.*) | *.* ||"
22148                           026 "Gravar como modelo"
22149                           089 "O tamanho total do eixo temporal é demasiado grande. Este é ajustado automaticamente"
22151                           027 "Carregar modelo..."
22152                           043 "Interseção eixo valores (X) em valor máximo"
22153                           023 "Carregar modelo"
22154                           036 "Interseção eixo de valores (X) em:"
22155                           043 "Interseção eixo valores (Y) em valor máximo"
22156                           032 "Interseção eixo valores (Y) em:"
22157                           116 "O número de períodos na média móvel deve ser no mínimo 2 e inferior ao número de pontos de dados"
22158                           080 "Os valores da tendência progressiva ou regressiva têm de ser superiores a 0"
22159                           021 "Legenda eixo radar"
22160                           032 "Formatar legenda eixo radar..."
22161                           028 "Formatar legenda eixo radar"
22162                           048 "A altura deve-se situar entre -45 e 45"
22163                           047 "A altura deve-se situar entre 10 e 90"
22164                           018 "Visão 3D"
22165                           051 "A largura de deve ser superior a 0"
22166                           027 "Formatar tabela de dados"
22167                           031 "&Formatar tabela de dados..."
22168                           020 "Tabela dados"
22169                           028 "&Eixo para categoria (Y)"
22170                           025 "&Eixo para valores (X)"
22173                           117 "A categoria a partir da qual se deve começar não pode ser inferior a 1.\nO valor é ajustado de modo correspondente"
22174                           113 "O número de categorias visíveis não pode ser inferior a 1.\nO valor é ajustado de modo correspondente"
22175                           039 "Inserir distribuição normal..."
22176                           042 "Formatar distribuição normal..."
22177                           019 "Imprimir..."
22178                           024 "Visualização"
22179                           066 "O valor de início deve ser diferente do valor de fim"
22180                           077 "- 'Sim' p/converter todas as séries dados p/tipo de diagrama selecionado"
22181                           054 "- 'Não' p/manter o tipo de diagrama atual"
22191                           029 "Classes histograma"
22192                           032 "Distribuição normal:"
22193                           038 "Legenda de distribuição normal:"
22194                           038 "Formatar distribuição normal"
22195                           044 "Formatar legenda de distribuição normal"
22196                           048 "Formatar legenda de distribuição normal..."
22197                           037 "Formatar linha do tempo atual..."
22198                           033 "Formatar linha do tempo atual"
22199                           029 "Anexar conjunto de valores..."
22200                           031 "Formatar áreas negativas"
22201                           027 "Formatar áreas negativas"
22202                           018 "Áreas positivas"
22203                           020 "Áreas negativas"
22204                           015 "De:"
22205                           013 "Até:"
22206                           022 "Estilo de tela:"
22207                           032 "Formatar área de sinal..."
22208                           028 "Formatar área de sinal"
22209                           034 "Formatar legenda de apontador..."
22210                           014 "Linha"
22211                           026 "Formatar tabela..."
22212                           022 "Formatar tabela"
22213                           020 "Fonte de título"
22214                           023 "Anexar tabela..."
22215                           024 "Anexar botão.."
22216                           027 "Formatar coluna..."
22217                           023 "Formatar coluna"
22218                           031 "Coluna demasiado estreita"
22219                           025 "Formatar célula..."
22220                           021 "Formatar célula"
22221                           035 "Formatar legendas de apontador..."
22222                           030 "Formatar legenda de apontador"
22223                           031 "Formatar legendas de apontador"
22224                           023 "Formatar botão"
22225                           027 "Formatar botão..."
22226                           036 "Exibir larguras linhas de círculos"
22228                           127 "A barra tempo não pode ser criada porque intervalo é muito grande. Caso se selecione Cancelar, será reinic.data mais elevada"
22229                           016 "Níveis"
22230                           014 "Mais"
22231                           031 "Distribuição normal"
22232                           019 "Subtítulo"
22233                           012 "On"
22235                           020 "Fonte de título"
22236                           019 "Fonte de célula"
22237                           019 "Gráfico de setores"
22238                           036 "Formatar unidade do título do eixo"
22239                           051 "Formato de nºs não válido"
22240                           092 "São permitidas no máximo 10 séries de valores.\nOutras séries de valores serão eliminadas"
22241                           025 "Origem de dados..."
22242                           035 "Inserir distribuição normal"
22400                           107 "Nº unidades demasiado elevado devido às configurações atuais de escala temporal. Pode diminuir performance"
22401                           054 "Estão corretas todas as configurações?"
22410                           101 "O nº de categorias visíveis não pode exceder o nº de categorias existentes"
22411                           056 "O valor será ajustado correspondentemente"
22420                           132 "O total dos valores das categorias visíveis e da categoria da qual se deve começar, excede o nº de categorias"
22421                           056 "O valor será ajustado correspondentemente"
22430                           132 "O tipo de diagrama não pode ser modificado p/diagrama ações, pois um diagrama ações necessita de 3, 4 ou 5 séries dados p/um ponto"
22431                           046 "Tentar uma das seguintes soluções:"
22432                           070 "Selecionar 'OK' p/atribuir o diagrama ações a todas as séries dados"
22433                           092 "Um diagrama de ações só será gerado se a tabela possuir séries de dados suficientes"
22434                           050 "Para fechar a mensagem, selecionar 'Cancelar'"
22435                           132 "Em seguida, selecionar outro tipo diagrama que possa exibir uma série dados individual, como por exemplo um diagrama de linhas"
22460                           065 "Diagramas 2D e 3D não podem ser combinados entre si"
22461                           132 "Modificar as séries de dados do diagrama 2D de modo a que os dois diagramas possam ser combinados em um diagrama 3D?"
22462                           094 "- 'Sim' para modificar as séries de dados, para que possam ser agrupadas em um diagrama 3D"
22464                           064 "-'Não' para cancelar a ligação de diagramas"
22470                           065 "Diagramas 3D e 2D não podem ser combinados entre si"
22471                           132 "Modificar as séries de dados do diagrama 3D de modo a que os dois diagramas possam ser combinados em um diagrama 2D?"
22472                           091 "- 'Sim' para modificar as séries dados, para que possam ser agrupadas em um diagrama 2D"
22474                           064 "- 'Não' para cancelar a ligação de diagramas"
22480                           060 "Diagrama não combinável c/outros tipos de diagrama"
22481                           090 "Modificar as séries de dados deste diagrama para o tipo de diagrama selecionado?"
22490                           132 "Para criar este diagrama de ações, inserir os dados na seguinte seqüência: cotação de abertura/máxima/mínima/de fecho"
22491                           050 "Utilizar dados ou nomes de ações como legenda"
22500                           132 "Para criar este diagrama de ações, inserir os dados na seguinte seqüência: volume negociado, cotação máxima/mínima/de fecho"
22501                           050 "Utilizar dados ou nomes de ações como legenda"
22510                           132 "Para criar este diagrama de ações, utilizar a seguinte seqüência: volume negociado, cotação de abertura/máxima/mínima/de fecho"
22511                           050 "Utilizar dados ou nomes de ações como legenda"
22550                           015 "Branco"
22551                           015 "Preto"
22552                           013 "Vermelho"
22553                           016 "Amarelo"
22554                           015 "Verde"
22555                           014 "Ciano"
22556                           014 "Azul"
22557                           017 "Magenta"
22600                           013 "Todos"
22601                           016 "Def.por cliente"
22602                           016 "Nº"
22603                           021 "Contabilidade"
22604                           014 "Data"
22605                           014 "Hora"
22606                           017 "Percentual"
22607                           018 "Fratura"
22608                           017 "Ciência"
22609                           014 "Texto"
22610                           018 "Moeda"
23000                           013 "Em cima"
23001                           016 "Meio"
23002                           016 "Embaixo"
23003                           016 "Subdividir"
23010                           014 "À esquerda"
23011                           016 "Meio"
23012                           015 "À direita"
23013                           016 "Subdividir"
23020                           015 "Superior"
23021                           015 "Subordinada"
23022                           020 "Largura otimizada"
23023                           016 "Meio"
23024                           021 "Base interna"
23025                           020 "Fim interno"
23026                           014 "À esquerda"
23027                           015 "Misto"
23028                           021 "Fim externo"
23029                           015 "À direita"
23030                           031 "Formatar legenda eixo..."
23031                           032 "Formatar título do diagrama..."
23032                           027 "Formatar legenda eixo"
23033                           028 "Formatar título do diagrama"
23034                           016 "Linear"
23035                           021 "Logarítmico"
23036                           019 "Potencial"
23037                           021 "Exponencial"
23038                           024 "Média móvel"
23039                           019 "Processar o texto"
23040                           019 "Automaticamente"
23041                           017 "Mínimo"
23042                           017 "Máximo"
23043                           016 "Def.pelo usuár."
23050                           017 "Colunas"
23051                           014 "Barras"
23052                           015 "Linhas"
23053                           017 "Perfil"
23054                           014 "Setores circ."
23055                           022 "XY (distribuir)"
23056                           014 "Superfície"
23057                           018 "Círculo"
23058                           015 "Radar"
23059                           019 "Portfólio:"
23060                           015 "Taxa de câmbio"
23061                           017 "Superfícies"
23062                           018 "Cilindros"
23063                           014 "Cone"
23064                           017 "Pirâmide"
23065                           019 "Marco"
23066                           015 "Níveis"
23067                           019 "Histograma"
23068                           020 "Tacômetro"
23069                           018 "Quadrante"
23070                           024 "Barras de 4 cores"
23090                           014 "Dados"
23091                           020 "Legenda"
24000                           018 "Item"
24001                           015 "Valor"
24002                           017 "Percentual"
25100                           018 "Visão 3D"
25103                           021 "Elevação:"
25107                           023 "Perspectiva:"
25111                           020 "Rotação"
25113                           023 "Escalar automaticamente"
25114                           027 "Eixos em ângulo recto"
25115                           018 "Altura:"
25118                           011 "%"
25119                           018 "Standard"
25200                           019 "Alinhamento"
25201                           024 "Alinhamento do texto"
25202                           022 "Horizontal:"
25204                           020 "Vertical:"
25206                           020 "Posição:"
25208                           021 "Alinhamento"
25300                           014 "Eixos"
25301                           022 "Eixo primário"
25302                           029 "Eixo de categorias (X)"
25303                           026 "Eixo de valores (Y)"
25304                           027 "Eixo de linhas (Z)"
25305                           024 "Eixo secundário"
25306                           029 "Eixo de categorias (X)"
25307                           025 "Eixo de valores (Y)"
25400                           019 "Alinhamento"
25401                           021 "Alinhamento"
25500                           014 "Linha"
25501                           014 "Linha"
25502                           020 "Automaticamente"
25503                           016 "Def.pelo usuár."
25504                           017 "Tipo:"
25506                           017 "Cor:"
25508                           030 "Categoria de traço principal"
25509                           015 "Sem"
25510                           016 "Interior"
25511                           017 "Externo"
25512                           015 "Horiz."
25513                           030 "Categoria de traço secundário"
25514                           015 "Sem"
25515                           016 "Interior"
25516                           017 "Externo"
25517                           015 "Horiz."
25518                           026 "Legendas traço secundário"
25519                           015 "Sem"
25520                           013 "Baixo"
25521                           014 "Alto"
25522                           022 "Junto do eixo"
25523                           016 "Visualização"
25600                           014 "Eixos"
25601                           024 "Série dados refere-se a"
25602                           023 "Eixo primário"
25603                           025 "Eixo secundário"
25700                           019 "Indicador de erro"
25701                           017 "Exibir"
25703                           022 "Montante de erro"
25704                           023 "Valor constante:"
25705                           021 "Valor percentual:"
25706                           029 "Desvio standard:"
25707                           024 "Erro standard:"
25708                           017 "Ajustar:"
25711                           011 "%"
25713                           011 "+"
25715                           011 "_"
25800                           019 "Linhas de grade"
25801                           028 "Eixo de categorias (X)"
25802                           026 "Grade principal"
25803                           026 "Grade auxiliar"
25804                           025 "Eixo de valores (Y)"
25805                           026 "Grade principal"
25806                           026 "Grade auxiliar"
25807                           026 "Eixo de linhas (Z)"
25808                           026 "Grade principal"
25809                           026 "Grade auxiliar"
25810                           028 "Eixo de categorias (X)"
25811                           026 "Grade principal"
25812                           026 "Grade auxiliar"
25813                           025 "Eixo de valores (Y)"
25814                           026 "Grade principal"
25815                           026 "Grade auxiliar"
25816                           022 "Eixo primário"
25817                           024 "Eixo secundário"
25900                           014 "Linha"
25901                           020 "Automaticamente"
25902                           017 "Def.pelo usuário"
25903                           014 "Linha"
25904                           017 "Tipo:"
25906                           017 "Cor:"
25908                           016 "Visualização"
25909                           016 "Marcador"
26000                           021 "Legendas de dados"
26001                           021 "Legendas de dados"
26002                           015 "Nenhum"
26003                           020 "Exibir valor"
26004                           022 "Exibir porcentagem"
26005                           020 "Exibir legenda"
26006                           032 "Exibir legenda e porcentagem"
26007                           026 "Exibir tamanho da bolha"
26009                           030 "Exibir legenda e valor"
26010                           029 "Exibir valores X e Y"
26011                           036 "Exibir legenda e tamanho da bolha"
26100                           016 "Legenda"
26101                           014 "Tipo"
26103                           027 "Bolhas"
26104                           018 "Exibir"
26105                           024 "Tamanho máximo:"
26108                           019 "Pos./tam.modificáv."
26109                           025 "Ocultado"
26200                           014 "Linha"
26201                           014 "Linha"
26202                           020 "Automaticamente"
26203                           017 "Def.pelo usuário"
26204                           017 "Tipo:"
26206                           017 "Cor:"
26208                           017 "Nivelar"
26209                           016 "Marcação"
26210                           020 "Automaticamente"
26211                           015 "Nenhum"
26212                           017 "Def.pelo usuário"
26213                           017 "Tipo:"
26215                           022 "Primeiro plano:"
26217                           022 "Background:"
26219                           016 "Tamanho"
26222                           016 "Visualização"
26223                           016 "Cabeçalho:"
26226                           016 "Tamanho:"
26227                           017 "Espessura:"
26300                           016 "Números"
26301                           020 "Categoria:"
26303                           026 "Formatos de nºs:"
26305                           016 "Visualização"
26306                           016 "Estático"
26307                           025 "Formato de nºs:"
26400                           015 "Forma"
26401                           017 "Formas:"
26500                           017 "Modelo"
26501                           014 "Preencher"
26502                           020 "Automaticamente"
26503                           016 "Cor"
26504                           018 "Modelo"
26505                           019 "Gradação"
26506                           018 "Estrutura"
26507                           016 "Estático"
26509                           016 "Estático"
26511                           016 "Estático"
26513                           022 "Efeitos 3D"
26514                           016 "Quadro"
26515                           020 "Automaticamente"
26516                           017 "Def.pelo usuário"
26517                           017 "Tipo:"
26519                           017 "Cor:"
26521                           017 "Sombra"
26522                           016 "Visualização"
26523                           022 "Transparente"
26525                           018 "Modelo:"
26526                           015 "Tela"
26527                           025 "Abrir tela..."
26600                           019 "Linha de tendência"
26601                           031 "Tipo de tendência/regressão"
26603                           026 "Nome linha de tendência:"
26605                           020 "Automaticamente"
26606                           018 "Tendência"
26607                           019 "Progressiva:"
26610                           020 "Regressiva:"
26613                           019 "Períodos:"
26616                           036 "Representar fórmula em diagrama"
26700                           015 "Escalamento"
26701                           015 "Escalamento"
26702                           029 "Escalamento eixo categorias"
