_SAPPCTXT_HEADER_               002 7500 FESEC EN 1100 27.04.2017-23:48 OK 
SEC_DIRECTORY_MODIFY            255 "The system is trying to modify the directory\n\n%s\n\nDo you want to grant access to this file?"
SEC_DIRECTORY_ACCESS            255 "The system is trying to access the directory\n\n%s\n\nDo you want to grant access to this file?"
SEC_DIRECTORY_CREATE_NO_ROOT    255 "The system is trying to create the directory\n\n%s\n\nDo you want to allow this?"
SEC_DIRECTORY_REPLACE           255 "The system is trying to create the directory\n\n%s\n\nDo you want to allow this?"
SEC_DIRECTORY_CREATE            255 "The system is trying to create the directory\n\n%s\n\nin the directory\n\n%s\n\nDo you want to grant permission to modify the parent directory and all its subdirectories?"
SEC_CL_LOGON_NO_VERI            255 "ATTENTION: System information could not be verified\n\n"
SEC_REQVIEW_SRV_ACTIONS_GROUP   050 "Server Actions"
<#004>SEC_REQDET_SAVE_BUTTON    020 "Save"
<#004>SEC_REQDET_CLOSE_BUTTON   020 "Close"
<#002>SEC_NO_BUTTON             020 "No"
<#002>SEC_YES_BUTTON            020 "Yes"
<#001>SEC_ACTQRY_REMEMBER       100 "Remember My Decision"
<#001>SEC_ACTQRY_DENY           100 "Deny"
<#001>SEC_ACTQRY_ALLOW          100 "Allow"
<#001>SEC_HELP_BUTTON           020 "Help"
<#001>SEC_OK_BUTTON             020 "OK"
<#003>SEC_REQVIEW_DETAILS_BTN   020 "Details..."
<#003>SEC_REQVIEW_SAVE_BUTTON   020 "Save"
<#003>SEC_REQVIEW_CLOSE_BUTTON  020 "Close"
<#003>SEC_REQVIEW_HELP_BUTTON   020 "Help"
SEC_REQVIEW_TAB_NONE            030 "None"
SEC_REQVIEW_DIALOG_TITLE        100 "SAP GUI Security - View Requests"
SEC_QUERY_DIALOG_TITLE          100 "SAP GUI Security"
SEC_REQDET_DIALOG_TITLE         100 "SAP GUI Security - Request Details"
